gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.533,0.467,0.455,0.073,0.382,0.091,0.164,0.127,0.382,0.64,0.36,0.857,0.143,0.718,0.282
0041900101,1610612753,Orlando,Magic,ORL,magic,240:00,0.539,0.461,0.459,0.148,0.393,0.098,0.148,0.205,0.311,0.536,0.464,0.875,0.125,0.659,0.341
0041900101,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.533,0.467,0.455,0.073,0.382,0.091,0.164,0.127,0.382,0.64,0.36,0.857,0.143,0.718,0.282
0041900101,1610612753,Orlando,Magic,ORL,magic,240:00,0.539,0.461,0.459,0.148,0.393,0.098,0.148,0.205,0.311,0.536,0.464,0.875,0.125,0.659,0.341
0041900102,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.539,0.461,0.486,0.108,0.405,0.054,0.108,0.099,0.378,0.444,0.556,0.933,0.067,0.619,0.381
0041900102,1610612753,Orlando,Magic,ORL,magic,240:00,0.629,0.371,0.5,0.25,0.219,0.083,0.281,0.167,0.25,0.5,0.5,0.857,0.143,0.581,0.419
0041900102,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.539,0.461,0.486,0.108,0.405,0.054,0.108,0.099,0.378,0.444,0.556,0.933,0.067,0.619,0.381
0041900102,1610612753,Orlando,Magic,ORL,magic,240:00,0.629,0.371,0.5,0.25,0.219,0.083,0.281,0.167,0.25,0.5,0.5,0.857,0.143,0.581,0.419
0041900103,1610612753,Orlando,Magic,ORL,magic,240:00,0.536,0.464,0.355,0.112,0.533,0.103,0.112,0.187,0.243,0.579,0.421,0.684,0.316,0.632,0.368
0041900103,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.549,0.451,0.479,0.066,0.421,0.116,0.099,0.207,0.413,0.483,0.517,0.765,0.235,0.587,0.413
0041900103,1610612753,Orlando,Magic,ORL,magic,240:00,0.536,0.464,0.355,0.112,0.533,0.103,0.112,0.187,0.243,0.579,0.421,0.684,0.316,0.632,0.368
0041900103,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.549,0.451,0.479,0.066,0.421,0.116,0.099,0.207,0.413,0.483,0.517,0.765,0.235,0.587,0.413
0041900104,1610612753,Orlando,Magic,ORL,magic,240:00,0.483,0.517,0.34,0.151,0.509,0.094,0.151,0.094,0.189,0.5,0.5,0.944,0.056,0.722,0.278
0041900104,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.549,0.451,0.463,0.116,0.421,0.074,0.116,0.14,0.347,0.536,0.464,0.824,0.176,0.644,0.356
0041900104,1610612753,Orlando,Magic,ORL,magic,240:00,0.483,0.517,0.34,0.151,0.509,0.094,0.151,0.094,0.189,0.5,0.5,0.944,0.056,0.722,0.278
0041900104,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.549,0.451,0.463,0.116,0.421,0.074,0.116,0.14,0.347,0.536,0.464,0.824,0.176,0.644,0.356
0041900105,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.489,0.511,0.407,0.051,0.407,0.076,0.186,0.136,0.356,0.625,0.375,0.75,0.25,0.675,0.325
0041900105,1610612753,Orlando,Magic,ORL,magic,240:00,0.564,0.436,0.423,0.135,0.433,0.067,0.144,0.173,0.288,0.455,0.545,0.8,0.2,0.595,0.405
0041900105,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.489,0.511,0.407,0.051,0.407,0.076,0.186,0.136,0.356,0.625,0.375,0.75,0.25,0.675,0.325
0041900105,1610612753,Orlando,Magic,ORL,magic,240:00,0.564,0.436,0.423,0.135,0.433,0.067,0.144,0.173,0.288,0.455,0.545,0.8,0.2,0.595,0.405
0041900111,1610612761,Toronto,Raptors,TOR,raptors,240:00,0.482,0.518,0.269,0.06,0.493,0.142,0.239,0.127,0.209,0.5,0.5,0.773,0.227,0.65,0.35
